"Non è stato possibile salvare la preferenza. Riprova.","Non è stato possibile salvare la preferenza. Riprova."
"Attenzione: la firma resta obbligatoria per completare l'ordine.","Attenzione: la firma resta obbligatoria per completare l'ordine."
"Reminder automatici","Reminder automatici"
"Solleciti per documenti in attesa di firma.","Solleciti per documenti in attesa di firma."
"Invia solleciti al cliente","Invia solleciti al cliente"
"Invia email periodiche al cliente per ricordargli di firmare. Disattivato di default.","Invia email periodiche al cliente per ricordargli di firmare. Disattivato di default."
"Template sollecito (cliente)","Template sollecito (cliente)"
"Giorni prima del primo sollecito","Giorni prima del primo sollecito"
"Giorni trascorsi dall'invio prima del primo reminder cliente.","Giorni trascorsi dall'invio prima del primo reminder cliente."
"Giorni tra solleciti successivi","Giorni tra solleciti successivi"
"Giorni da attendere tra un reminder e il successivo.","Giorni da attendere tra un reminder e il successivo."
"Numero massimo di solleciti cliente","Numero massimo di solleciti cliente"
"Quante volte al massimo sollecitare il cliente.","Quante volte al massimo sollecitare il cliente."
"Invia escalation all'admin","Invia escalation all'admin"
"Invia una notifica all'admin se il documento rimane non firmato. Abilitato di default.","Invia una notifica all'admin se il documento rimane non firmato. Abilitato di default."
"Template escalation (admin)","Template escalation (admin)"
"Giorni prima dell'escalation admin","Giorni prima dell'escalation admin"
"Giorni trascorsi dall'invio prima di allertare l'admin.","Giorni trascorsi dall'invio prima di allertare l'admin."
"Promemoria: Firma il tuo contratto (ordine %increment_id)","Promemoria: Firma il tuo contratto (ordine %increment_id)"
"ti ricordiamo che il contratto relativo al tuo ordine #%increment_id è ancora in attesa di firma digitale.","ti ricordiamo che il contratto relativo al tuo ordine #%increment_id è ancora in attesa di firma digitale."
"Per completare l'ordine, ti invitiamo a seguire le istruzioni ricevute all'indirizzo %email dal provider di firma.","Per completare l'ordine, ti invitiamo a seguire le istruzioni ricevute all'indirizzo %email dal provider di firma."
"[Firma Digitale] Sollecito: Documento #%document_id in attesa di firma (ordine %increment_id)","[Firma Digitale] Sollecito: Documento #%document_id in attesa di firma (ordine %increment_id)"
"Il seguente documento è in attesa di firma digitale da oltre il periodo configurato di escalation.","Il seguente documento è in attesa di firma digitale da oltre il periodo configurato di escalation."
"Gestisci l'ordine in backend: <a href=\"\"%url\"\">%url</a>","Gestisci l'ordine in backend: <a href=\"\"%url\"\">%url</a>"
"Nessuna validità legale — solo test/sviluppo","Nessuna validità legale — solo test/sviluppo"
"Firma Elettronica Avanzata (AES)","Firma Elettronica Avanzata (AES)"
"Nota: La classificazione del livello di firma si basa sulle specifiche dichiarate dal fornitore. Il modulo non garantisce l'adeguatezza legale o la conformità per scopi specifici.","Nota: La classificazione del livello di firma si basa sulle specifiche dichiarate dal fornitore. Il modulo non garantisce l'adeguatezza legale o la conformità per scopi specifici."
"Connettori Aggiuntivi & Pianificati","Connettori Aggiuntivi & Pianificati"
"Adobe Acrobat Sign","Adobe Acrobat Sign"
"Connettore per integrare le firme digitali ed elettroniche di Adobe Acrobat Sign. Consente l'autenticazione OAuth2 ed il tracciamento asincrono del processo di firma.","Connettore per integrare le firme digitali ed elettroniche di Adobe Acrobat Sign. Consente l'autenticazione OAuth2 ed il tracciamento asincrono del processo di firma."
"Sito ufficiale del provider","Sito ufficiale del provider"
"Vuoi integrare un provider differente?","Vuoi integrare un provider differente?"
"Il modulo è progettato per essere esteso in modo modulare. Puoi implementare un connettore personalizzato per qualsiasi provider di firma digitale (es. DocuSign, Namirial, InfoCert) seguendo la nostra guida.","Il modulo è progettato per essere esteso in modo modulare. Puoi implementare un connettore personalizzato per qualsiasi provider di firma digitale (es. DocuSign, Namirial, InfoCert) seguendo la nostra guida."
"Guida all'integrazione dei provider di firma","Guida all'integrazione dei provider di firma"
"In sviluppo","In sviluppo"
"Disponibile","Disponibile"
"Connettori aggiuntivi","Connettori aggiuntivi"
"Metriche e performance documenti","Metriche e performance documenti"
"Periodo di analisi:","Periodo di analisi:"
"Ultimi 30 giorni","Ultimi 30 giorni"
"Ultimi 90 giorni","Ultimi 90 giorni"
"Ultimo anno","Ultimo anno"
"Sempre","Sempre"
"Totale generati","Totale generati"
"Firmati","Firmati"
"In attesa di firma","In attesa di firma"
"Scaduti o Rifiutati","Scaduti o Rifiutati"
"Tempo medio firma","Tempo medio firma"
"giorno","giorno"
"giorni","giorni"
"Posiziona la firma sul PDF","Posiziona la firma sul PDF"
"Indietro","Indietro"
"Pagina","Pagina"
"di","di"
"Avanti","Avanti"
"Zoom -","Zoom -"
"Zoom +","Zoom +"
"Seleziona la firma trascinando il mouse per tracciare un riquadro sulla pagina del PDF.","Seleziona la firma trascinando il mouse per tracciare un riquadro sulla pagina del PDF."
"Annulla","Annulla"
"Conferma Posizione","Conferma Posizione"
"Traccia un riquadro sul PDF prima di confermare.","Traccia un riquadro sul PDF prima di confermare."
"Errore durante il salvataggio delle coordinate.","Errore durante il salvataggio delle coordinate."
"Impossibile caricare il PDF temporaneo.","Impossibile caricare il PDF temporaneo."
"Sorgente Libreria pdf.js","Sorgente Libreria pdf.js"
"URL CDN pdf.js","URL CDN pdf.js"
"Locale (Consigliato)","Locale (Consigliato)"
"CDN","CDN"
"File non specificato.","File non specificato."
"Il file temporaneo richiesto non esiste.","Il file temporaneo richiesto non esiste."
"Parametri di firma non validi.","Parametri di firma non validi."
"Il file temporaneo non esiste.","Il file temporaneo non esiste."
"Operazione annullata.","Operazione annullata."
